p,ostatnia_cyfra_2^p_minus_1,najmniejszy_dzielnik_wlasciwy,pierwsze_przekroczenie_potegi_dwojki
3713,1,4513,False
3721,1,2305843009213693951,False
3731,7,127,False
3743,7,524287,False
3749,1,178481,False
3757,1,8191,False
3763,7,6361,False
3781,1,524287,False
3787,7,127,False
3791,7,131071,False
3799,7,233,False
3809,1,8191,False
3827,7,618970019642690137449562111,False
3829,1,127,False
3841,1,178481,False
3857,1,127,False
3859,7,131071,False
3869,1,6361,False
3871,7,127,False
3887,7,8191,False
3893,1,131071,False
3899,7,127,False
3901,1,4513,False
3913,1,127,False
3937,1,2147483647,False
3941,1,127,False
3959,7,162259276829213363391578010288127,False
3961,1,131071,False
3973,1,233,False
3979,7,178481,False
3983,7,127,False
3991,7,8191,False
3997,1,127,False
4009,1,15193,False
4031,7,233,False
4039,7,127,False
4043,7,8191,False
4061,1,2147483647,False
4063,7,1913,False
4067,7,127,False
4069,1,8191,False
4087,7,2305843009213693951,False
4097,1,131071,False
4109,1,127,False
4117,1,1433,False
4121,1,8191,False
4123,7,127,False
4151,7,127,False
4163,7,43441,False
4181,1,65993,False
4183,7,4513,False
4187,7,6361,False
4189,1,48544121,False
4193,1,127,False
4199,7,8191,False
4207,7,127,False
4237,1,524287,False
4247,7,2147483647,False
4249,1,127,False
4267,7,54217,False
4277,1,127,False
4291,7,127,False
4303,7,8191,False
4307,7,2298041,False
4309,1,2147483647,False
4313,1,524287,False
4319,7,127,False
4321,1,233,False
4331,7,48544121,False
4333,1,127,False
4351,7,524287,False
4361,1,127,False
4369,1,131071,False
4379,7,233,False
4381,1,8191,False
4387,7,162259276829213363391578010288127,False
4393,1,178481,False
4399,7,6361,False
4403,7,127,False
4417,1,127,False
4427,7,524287,False
4439,7,178481,False
4453,1,2298041,False
4459,7,127,False
4471,7,131071,False
4487,7,127,False
4501,1,127,False
4511,7,8191,False
4529,1,127,False
4531,7,178481,False
4537,1,8191,False
4541,1,1913,False
4553,1,233,False
4559,7,4513,False
4571,7,127,False
4573,1,131071,False
4577,1,178481,False
4579,7,524287,False
4589,1,8191,False
4601,1,162259276829213363391578010288127,False
4607,7,131071,False
4613,1,127,False
4619,7,2147483647,False
4627,7,127,False
4633,1,65993,False
4667,7,8191,False
4669,1,127,False
4681,1,18121,False
4693,1,8191,False
4699,7,170141183460469231731687303715884105727,False
4709,1,131071,False
4711,7,127,False
4717,1,6361,False
4727,7,233,False
4739,7,127,False
4747,7,4513,False
4753,1,127,False
4757,1,48544121,False
4769,1,54217,False
4771,7,8191,False
4777,1,80929,False
4781,1,127,False
4811,7,131071,False
4819,7,2305843009213693951,False
4823,7,127,False
4837,1,127,False
4841,1,4513,False
4843,7,233,False
4849,1,8191,False
4853,1,15193,False
4859,7,65993,False
4867,7,2147483647,False
4879,7,127,False
4883,7,524287,False
4891,7,2298041,False
4901,1,233,False
4907,7,127,False
4913,1,131071,False
4921,1,127,False
4927,7,8191,False
4949,1,127,False
4963,7,127,False
4979,7,8191,False
4981,1,131071,False
4991,7,127,False
4997,1,524287,False
5017,1,233,False
5029,1,4513,False
5033,1,127,False
5041,1,48544121,False
5047,7,127,False
5053,1,704161,False
5057,1,8191,False
5063,7,2305843009213693951,False
5083,7,8191,False
5089,1,127,False
5111,7,524287,False
5117,1,127,False
5123,7,4513,False
5129,1,178481,False
5131,7,127,False
5141,1,6361,False
5149,1,524287,False
5161,1,6353,False
5173,1,127,False
5177,1,2147483647,False
5183,7,2298041,False
5191,7,233,False
5201,1,127,False
5207,7,170141183460469231731687303715884105727,False
5213,1,8191,False
5219,7,131071,False
5221,1,178481,False
5239,7,8191,False
5243,7,127,False
5249,1,233,False
5251,7,618970019642690137449562111,False
5257,1,127,False
5263,7,524287,False
5267,7,178481,False
5287,7,131071,False
5299,7,127,False
5311,7,4513,False
5317,1,8191,False
5321,1,131071,False
5327,7,127,False
5329,1,2298041,False
5339,7,80929,False
5341,1,127,False
5353,1,6361,False
5359,7,178481,False
5363,7,730753,False
5369,1,127,False
5377,1,524287,False
5383,7,127,False
5389,1,131071,False
5411,7,127,False
5429,1,2305843009213693951,False
5447,7,8191,False
5453,1,127,False
5459,7,6361,False
5461,1,170141183460469231731687303715884105727,False
5473,1,8191,False
5491,7,131071,False
5497,1,1913,False
5509,1,127,False
5537,1,127,False
5539,7,233,False
5543,7,178481,False
5549,1,1433,False
5551,7,127,False
5567,7,524287,False
5579,7,127,False
5587,7,18121,False
5593,1,127,False
5597,1,233,False
5603,7,3449,False
5609,1,48544121,False
5611,7,43441,False
5627,7,131071,False
5629,1,8191,False
5663,7,127,False
5671,7,6361,False
5677,1,127,False
5681,1,8191,False
5707,7,8191,False
5713,1,233,False
5719,7,127,False
5729,1,131071,False
5747,7,127,False
5759,7,8191,False
5761,1,127,False
5767,7,2298041,False
5771,7,233,False
5773,1,54217,False
5777,1,6361,False
5789,1,127,False
5803,7,127,False
5831,7,127,False
5833,1,524287,False
5837,1,8191,False
5873,1,127,False
5887,7,127,False
5893,1,48544121,False
5899,7,131071,False
5909,1,524287,False
5911,7,178481,False
5917,1,2305843009213693951,False
5921,1,2147483647,False
5933,1,131071,False
5941,1,8191,False
5947,7,524287,False
5957,1,127,False
5963,7,618970019642690137449562111,False
5969,1,4513,False
5971,7,127,False
5983,7,2147483647,False
5989,1,6361,False
5993,1,8191,False
5999,7,127,False
6001,1,131071,False
6013,1,127,False
6019,7,8191,False
6023,7,524287,False
6031,7,704161,False
6041,1,127,False
6049,1,178481,False
6059,7,2298041,False
6071,7,8191,False
6097,1,127,False
6103,7,131071,False
6107,7,2147483647,False
6119,7,233,False
6137,1,131071,False
6139,7,127,False
6157,1,4513,False
6161,1,2305843009213693951,False
6167,7,127,False
6169,1,2147483647,False
6181,1,127,False
6187,7,178481,False
6191,7,18121,False
6209,1,127,False
6223,7,127,False
6227,7,8191,False
6233,1,178481,False
6239,7,131071,False
6251,7,127,False
6253,1,8191,False
6283,7,2305843009213693951,False
6289,1,524287,False
6293,1,127,False
6307,7,127,False
6313,1,162259276829213363391578010288127,False
6319,7,48544121,False
6331,7,8191,False
6341,1,131071,False
6349,1,127,False
6371,7,178481,False
6377,1,127,False
6383,7,8191,False
6401,1,730753,False
6403,7,524287,False
6409,1,233,False
6419,7,127,False
6433,1,127,False
6439,7,4513,False
6443,7,131071,False
6461,1,127,False
6463,7,80929,False
6467,7,233,False
6487,7,8191,False
6493,1,18121,False
6497,1,2298041,False
6503,7,127,False
6509,1,178481,False
6511,7,131071,False
6517,1,127,False
6527,7,2305843009213693951,False
6533,1,4513,False
6539,7,8191,False
6541,1,15193,False
6559,7,127,False
6583,7,233,False
6587,7,127,False
6593,1,524287,False
6601,1,127,False
6613,1,131071,False
6617,1,8191,False
6623,7,1433,False
6629,1,127,False
6631,7,524287,False
6641,1,233,False
6643,7,127,False
6647,7,131071,False
6649,1,2305843009213693951,False
6667,7,65993,False
6671,7,127,False
6683,7,704161,False
6697,1,43441,False
6707,7,524287,False
6713,1,127,False
6727,7,127,False
6731,7,6361,False
6739,7,178481,False
6749,1,6353,False
6757,1,233,False
6769,1,127,False
6773,1,8191,False
6797,1,127,False
6799,7,8191,False
6811,7,127,False
6817,1,131071,False
6821,1,524287,False
6839,7,127,False
6851,7,8191,False
6859,7,524287,False
6877,1,8191,False
6881,1,127,False
6887,7,48544121,False
6893,1,65993,False
6913,1,1466449,False
6923,7,127,False
6929,1,8191,False
6931,7,233,False
6937,1,127,False
6943,7,6361,False
6953,1,131071,False
6973,1,524287,False
6979,7,127,False
6989,1,233,False
7003,7,4513,False
7009,1,704161,False
7021,1,127,False
7031,7,618970019642690137449562111,False
7033,1,8191,False
7037,1,2147483647,False
7049,1,127,False
7061,1,178481,False
7063,7,127,False
7081,1,2298041,False
7087,7,524287,False
7091,7,127,False
7093,1,730753,False
7097,1,4513,False
7099,7,1504073,False
7111,7,8191,False
7123,7,131071,False
7133,1,127,False
7147,7,127,False
7153,1,178481,False
7157,1,131071,False
7163,7,233,False
7169,1,162259276829213363391578010288127,False
7171,7,48544121,False
7189,1,127,False
7199,7,178481,False
7201,1,524287,False
7217,1,127,False
7223,7,622577,False
7231,7,127,False
7241,1,8191,False
7259,7,127,False
7261,1,6361,False
7267,7,8191,False
7273,1,127,False
7277,1,524287,False
7279,7,233,False
7291,7,178481,False
7301,1,127,False
7313,1,48544121,False
7319,7,8191,False
7327,7,3449,False
7339,7,1433,False
7343,7,127,False
7357,1,127,False
7361,1,131071,False
7367,7,6361,False
7373,1,2298041,False
7379,7,4513,False
7387,7,618970019642690137449562111,False
7391,7,524287,False
7397,1,8191,False
7399,7,127,False
7409,1,1913,False
7421,1,43441,False
7423,7,8191,False
7427,7,127,False
