p,divisor,searchedMersenne,detailedCheck,passedAllTests
138335081,14110178263,True,True,False
138324211,5832025384183,True,True,False
138333011,104026424273,True,True,False
138337981,113713820383,True,True,False
138615163,155526212887,True,True,False
138334979,205012438879,True,True,False
138333907,56440234057,True,True,False
138339853,4150195591,True,True,False
138337739,276675479,True,True,False
138337391,1106699129,True,True,False
138615121,148595409713,True,True,False
138338953,16600674361,True,True,False
138341771,1106734169,True,True,False
138339671,503833081783,True,True,False
138339919,9960474169,True,True,False
138338887,124228320527,True,True,False
138338287,616712083447,True,True,False
138235327,460047168257,True,True,False
138341617,73874423479,True,True,False
138238601,9953179273,True,True,False
138343267,2213492273,True,True,False
138343817,830062903,True,True,False
138342649,19644656159,True,True,False
138339767,2490115807,True,True,False
138342977,830057863,True,True,False
138342797,1936799159,True,True,False
138345461,164631098591,True,True,False
138340717,96008457599,True,True,False
138344551,81899974193,True,True,False
138346421,193408296559,True,True,False
138346937,1936857119,True,True,False
138346919,5810570599,True,True,False
138348341,416151809729,True,True,False
138238897,35389157633,True,True,False
138346199,276692399,True,True,False
138345217,1929085705849,True,True,False
138350183,276700367,True,True,False
138235633,50594241679,True,True,False
138350423,276700847,True,True,False
138351539,56447427913,True,True,False
138351959,276703919,True,True,False
138351071,276702143,True,True,False
138353077,830118463,True,True,False
138353981,8577946823,True,True,False
138354101,1106832809,True,True,False
138355031,3597230807,True,True,False
138355229,20753284351,True,True,False
138355111,5810914663,True,True,False
138144557,166602335743,True,True,False
138354707,7747863593,True,True,False
138356381,4150691431,True,True,False
138354299,2491484216393,True,True,False
138356677,830140063,True,True,False
138356599,2490418783,True,True,False
138353647,450756181927,True,True,False
138349501,1617028967689,True,True,False
138357941,63921368743,True,True,False
138357641,275608420873,True,True,False
138358511,9131661727,True,True,False
138359341,5534373641,True,True,False
138359503,2213752049,True,True,False
138360119,276720239,True,True,False
138360511,179315222257,True,True,False
138360851,276721703,True,True,False
138360857,1937051999,True,True,False
138361103,276722207,True,True,False
138361493,830168959,True,True,False
138236339,872824244447,True,True,False
138362299,454105065319,True,True,False
138362953,3320710873,True,True,False
138362897,4150886911,True,True,False
138363259,470711807119,True,True,False
138363919,22414954879,True,True,False
138366101,562043102263,True,True,False
138366359,276732719,True,True,False
138366829,159121853351,True,True,False
138366959,4427742689,True,True,False
138367219,76378704889,True,True,False
138367589,153864758969,True,True,False
138367717,830206303,True,True,False
138367759,8025330023,True,True,False
138367991,5811455623,True,True,False
138368177,830209063,True,True,False
138368413,22969156559,True,True,False
138368119,1067371669967,True,True,False
138368803,4704539303,True,True,False
138368927,2490640687,True,True,False
138369017,13283425633,True,True,False
138369641,5258046359,True,True,False
138369563,328766081689,True,True,False
138369871,5811534583,True,True,False
138369911,276739823,True,True,False
138370051,537152537983,True,True,False
138370619,276741239,True,True,False
138370381,779301985793,True,True,False
138371063,276742127,True,True,False
138371323,43171852777,True,True,False
138371251,1742370792593,True,True,False
138372173,830233039,True,True,False
138372103,44555817167,True,True,False
138372317,1937212439,True,True,False
138372757,5534910281,True,True,False
138373273,830239639,True,True,False
138373463,29888668009,True,True,False
138373721,8579170703,True,True,False
138374429,186805479151,True,True,False
138374911,11346742703,True,True,False
138374683,21309701183,True,True,False
138374879,23246979673,True,True,False
138375203,276750407,True,True,False
138375649,27398378503,True,True,False
138375683,276751367,True,True,False
138377699,276755399,True,True,False
138378323,276756647,True,True,False
138378547,2490813847,True,True,False
138376387,8025830447,True,True,False
138376493,830258959,True,True,False
138379051,24631471079,True,True,False
138379079,19096312903,True,True,False
138376919,276753839,True,True,False
138229937,11058394961,True,True,False
138379487,3321107689,True,True,False
138377471,207012696617,True,True,False
138377593,830265559,True,True,False
138377639,276755279,True,True,False
